,sr_no,client_name,industry,remarks,category,status,priority,set,manager,designer,fb_posting,insta_posting,birthday_wishes,status
137,336,BETERRY BAZAR ,ELECTRIC,DONE,TELECOM,OK,,0.0,POOJA,JAGRITI,NO,NO,NO,
138,337,SKR NGO REWARI,NGO,DONE,TELECOM,OK,,0.0,POOJA,JAGRITI,,,,
139,343,COMPUTER EMPRIRE,COMPUTER,DONE,TELECOM,OK,,0.0,POOJA,JAGRITI,,,,
140,348,PANDIT BATTERY,ELECTRIC,DONE,TELECOM,OK,,0.0,POOJA,JAGRITI,,,,
141,151,Manglam Electronics,Telecom and Electronics,DONE,TELECOM,OK,C,51.0,POOJA,JAGRITI,RITU,NO,NEELAM,
142,360,SUKHIJA MOBILE RATIA,TELECOM,,TELECOM,,,51.0,POOJA,,,,,
143,361,VARIETY MOBILE,TELECOM,,TELECOM,,,51.0,POOJA,,,,,
144,153,Aayush Mobiles,Telecom,DONE,TELECOM,OK,C,52.0,POOJA,JAGRITI,NEHA,NEHA,GAUTAM,
145,154,Aneja Mobile Ghar,Telecom,DONE,TELECOM,OK,C,52.0,POOJA,JAGRITI,NEHA,NEHA,NEELAM,
146,155,AKASH TELECOM ELECTRONICS,Telecom,DONE,TELECOM,OK,C,52.0,POOJA,JAGRITI,,,,
147,156,A to Z Communication ,Telecom,DONE,TELECOM,OK,C,53.0,POOJA,JAGRITI,NEHA,NO,NEELAM,
148,157,Aarna Communication,Telecom and Electronics,DONE,TELECOM,OK,C,53.0,POOJA,JAGRITI,RITU,NO,MUSKAN,
149,158,Sai Electronics Delhi,Telecom,DONE,TELECOM,OK,C,53.0,POOJA,JAGRITI,RITU,NO,NO,
150,159,Sharma Mobiles,Telecom,FINAL CALL,TELECOM,OK,C,54.0,POOJA,JAGRITI,RITU,NO,NO,
151,160,Smile Electronics,Telecom and Electronics,DONE,TELECOM,OK,C,54.0,POOJA,JAGRITI,NO,NO,NEELAM,
152,161,Apoorva Sales,Telecom,DONE,TELECOM,NEW,C,54.0,POOJA,JAGRITI,,,,
153,162,Bajaj Enterprises,Telecom,DONE,TELECOM,OK,C,55.0,POOJA,JAGRITI,NEHA,NO,GAUTAM,
154,163,Kavya Traders,Telecom and Electronics,DONE,TELECOM,OK,C,55.0,POOJA,JAGRITI,NEHA,NEHA,NEELAM,
155,164,Shri Ram Mobiles,Telecom,DONE,TELECOM,OK,C,55.0,POOJA,JAGRITI,NEHA,NEHA ,MUSKAN,
156,165,Amit Communication,Telecom,DONE,TELECOM,OK,C,56.0,POOJA,JAGRITI,NO,NO,MUSKAN,
157,166,Mittal Mobile Sirsa,Telecom,DONE,TELECOM,OK,C,56.0,POOJA,JAGRITI,RITU,NO,GAUTAM,
158,167,BALA JEE TELECOM CHIDAWA,Telecom,DONE,TELECOM,OK,C,56.0,POOJA,JAGRITI,,,,
159,168,Kanha Mobile And Electronics,Telecom,DONE,TELECOM,OK,C,57.0,POOJA,JAGRITI,NEHA,NEHA,MUSKAN,
160,170,LAKHMI ENTERPRISES MAHENDERGARH,Telecom,DONE,TELECOM,OK,C,57.0,POOJA,JAGRITI,,,,
161,395,MOBILE COM JAIPUR,TELECOM,,TELECOM,,,57.0,POOJA,KANIKA,,,,
162,171,Dhingra Traders,Telecom,DONE,TELECOM,OK,C,58.0,POOJA,JAGRITI,NEHA,NO,NEELAM,
163,172,Digital Mobile Jagraon,Telecom and Electronics,DONE,TELECOM,OK,C,58.0,POOJA,JAGRITI,NEHA,NO,NO,
164,173,Parwati Mobile Accessories,Telecom,DONE,TELECOM,OK,C,58.0,POOJA,JAGRITI,NEHA,NEHA,NO,
165,174,Mobile Hut,Telecom,DONE,TELECOM,OK,C,59.0,POOJA,JAGRITI,NEHA,NEHA,GAUTAM,
166,175,MUSIC POINT ,Telecom,DONE,TELECOM,OK,,59.0,POOJA,JAGRITI,,,,
167,176,PM Traders,Telecom,DONE,TELECOM,OK,C,59.0,POOJA,JAGRITI,NEHA,NO,MUSKAN,
168,177,Hello Mobiles Sonipat,Telecom,DONE,TELECOM,OK,C,60.0,POOJA,JAGRITI,NEHA,NEHA,NEELAM,
169,178,JMD Mobile Store Gharaunda,Telecom,DONE,TELECOM,OK,C,60.0,POOJA,JAGRITI,RITU,RITU,NEELAM,
170,397,SHRI KHATESHWAR MOBILE,TELECOM,,TELECOM,,,60.0,POOJA,,,,,
171,180,Shri Shyam Communication Jagraon,Telecom,DONE,TELECOM,OK,C,61.0,POOJA,JAGRITI,NO,NO,NO,
172,181,SKR Digital Rajasthan,Telecom,DONE,TELECOM,OK,C,61.0,POOJA,JAGRITI,RITU,NO,NO,
173,182,KHUNGAR MOBILES SIRSA,Telecom,DONE,TELECOM,OK,C,62.0,POOJA,JAGRITI,NEHA,NO,NEELAM,
174,183,Mobile House Bikaner,Telecom,DONE,TELECOM,OK,C,62.0,POOJA,JAGRITI,RITU,RITU,MUSKAN,
175,184,SK Mobile Service,Telecom,FINAL CALL,TELECOM,OK,C,62.0,POOJA,JAGRITI,RITU,NO,MUSKAN,
176,185,Raja Mobile Shop,Telecom,DONE,TELECOM,OK,C,63.0,POOJA,JAGRITI,NEHA,NEHA,GAUTAM,
177,186,Simmy Mobiles,Telecom,DONE,TELECOM,OK,C,63.0,POOJA,JAGRITI,,,,
178,187,The Digital World Jodhpur,Telecom and Electronics,DONE,TELECOM,OK,C,63.0,POOJA,JAGRITI,NO,NO,NO,
179,188,Adinath Mobile,Telecom,DONE,TELECOM,OK,C,64.0,POOJA,JAGRITI,NO,NO,NO,
180,189,Sagar Music Dehradun,Telecom,DONE,TELECOM,OK,C,64.0,POOJA,JAGRITI,RITU,NO,NEELAM,
181,399,SHRI BALAJI TELESERVICES,TELECOM,,TELECOM,,,64.0,POOJA,,,,,
182,190,PRIYANSHU MOBILE UP,Telecom,DONE,TELECOM,OK,C,65.0,POOJA,JAGRITI,NO,NO,NO,
183,191,CHOUDHARY COMMUNICATION GURUGRAM,Telecom,DONE,TELECOM,OK,C,65.0,POOJA,JAGRITI,NO,NO,NO,
184,192,Yash Mobile Gallery Tohana,Telecom,DONE,TELECOM,OK,C,65.0,POOJA,JAGRITI,NEHA,NEHA,GAUTAM,
185,193,Magic Mobiles,Telecom,DONE,TELECOM,OK,C,66.0,POOJA,JAGRITI,NEHA,NO,NO,
186,194,ANEJA MOBILE SIRSA,Telecom,DONE,TELECOM,OK,C,66.0,POOJA,JAGRITI,,,,
187,195,CHANDER MOBILE,Telecom,DONE,TELECOM,OK,C,66.0,POOJA,JAGRITI,,,,
188,196,SHAMMI MOBILES,Telecom,DONE,TELECOM,OK,C,67.0,POOJA,JAGRITI,NEHA,NO,NEELAM,
189,197,YASH MOBILE BEGUN,Telecom,DONE,TELECOM,OK,C,67.0,POOJA,JAGRITI,NO,NO,NO,
190,198,DN MOBILES BHATTU,Telecom,DONE,TELECOM,OK,C,67.0,POOJA,JAGRITI,,,,
191,199,Ashish Mobile Panipat,Telecom,DONE,TELECOM,OK,C,68.0,POOJA,JAGRITI,RITU,NO,NEELAM,
192,200,RK Mobiles Nohar ,Telecom,DONE,TELECOM,OK,C,68.0,POOJA,JAGRITI,NEHA,NO,GAUTAM,
193,201,SHIV SALES,Telecom,DONE,TELECOM,OK,C,68.0,POOJA,JAGRITI,NEHA,NO,NO,
194,202,Mr. Talk Mobile World,Telecom,DONE,TELECOM,OK,C,69.0,POOJA,JAGRITI,NEHA,NEHA,NO,
195,203,Salasar Mobile Tohana,Telecom,DONE,TELECOM,OK,C,69.0,POOJA,JAGRITI,NO,NEHA,NO,
196,204,MY MOBILE SHOPEE JAIPUR,Telecom,DONE,TELECOM,OK,C,69.0,POOJA,JAGRITI,,,,
197,205,DEOL MOBILE,Telecom,DONE,TELECOM,OK,C,70.0,POOJA,JAGRITI,,,,
198,206,GOPALA MOBILE SHOP,Telecom,DONE,TELECOM,OK,C,70.0,POOJA,JAGRITI,NEHA,NO,GAUTAM,
199,207,Maa Bhagwati Communication,Telecom,DONE,TELECOM,OK,C,70.0,POOJA,JAGRITI,NEHA,NEHA,NEELAM,
200,208,Garg Mobile Gallery,Telecom,DONE,TELECOM,OK,D,71.0,POOJA,JAGRITI,NEHA,NO,GAUTAM,
201,209,Sach Mobile Shoppe,Telecom,DONE,TELECOM,OK,C,71.0,POOJA,JAGRITI,RITU,NO,NEELAM,
202,210,SHIV COMMUNICATION BARELI,Telecom,DONE,TELECOM,OK,C,71.0,POOJA,JAGRITI,,,,
203,211,GOLDEN ENTERPRISES,TELECOM,DONE,TELECOM,OK,,71.0,POOJA,JAGRITI,,,,
204,212,VANSH MOBILE CAFÉ,Telecom,DONE,TELECOM,OK,A,72.0,POOJA,JAGRITI,,,,
205,213,GOYAL BHADRA,Telecom,DONE,TELECOM,OK,D,72.0,POOJA,JAGRITI,NEHA,NO,NEELAM,
206,214,SM DIGITAL,Telecom,DONE,TELECOM,OK,D,72.0,POOJA,JAGRITI,NEHA,NO,NEELAM,
207,216,Karan Mobile World,Telecom,DONE,TELECOM,OK,D,73.0,POOJA,JAGRITI,RITU,NO,NO,
208,217,Sirsa Mall,Telecom,DONE,TELECOM,OK,D,73.0,POOJA,JAGRITI,NEHA,NEHA,NEELAM,
209,403,PHONE XPRESS,TELECOM,,TELECOM,,,73.0,POOJA,KANIKA,,,,
